vconst_corr,vconst_2,vconst_3,vconst_4,vconst_5,vconst_6,vconst_7,ah_corr,ah_bolus,slm_corr,efficiency_factor,tidal_mix_max,vertical_decay_scale,convect_corr,bckgrnd_vdc1,bckgrnd_vdc_ban,bckgrnd_vdc_eq,bckgrnd_vdc_psim,outcome
0.8596713333161651,0.9287884463332148,0.2524211583170492,0.29814804361909614,0.16998836380222004,0.7379205842234963,0.42614731192820515,0.5686687601220781,0.4740106298679767,0.24426555888708712,0.10385642922273296,0.870924683743155,1.0,0.44732532889239557,0.3072743128618498,0.8605400182217521,0.7975063406341811,0.8701591184594212,0
0.6063670204927083,0.4572270036661357,0.3593159058761663,0.3063021682534993,0.8440884115219807,0.937500554348059,0.4424868547043511,0.8292028659935633,0.29517522577146593,0.6163830158490488,0.9758322599369322,0.9163351947429652,0.8471487555862156,0.8639879188283769,0.34652710556441263,0.35697715530933444,0.4386284823442283,0.5123047943191995,1
0.9984042135069513,0.3724737763359429,0.5177291296922867,0.5051924654897959,0.6192304846243449,0.607119307204632,0.7458567884280534,0.1959833367677278,0.8173884785481493,0.679023415749287,0.8033774579533325,0.6450454775546005,0.71985983507924,0.9247761005494297,0.3151363280663251,0.2506606063533524,0.28567711104380095,0.36581760958467796,1
0.7839505769322364,0.10245157089760615,0.1969262828974019,0.4216780083317884,0.7426190469883162,0.49199256218817994,0.0009406259986492888,0.3925299543038948,0.006825266034367387,0.4706144807635193,0.5977451553678479,0.7631187112411866,0.3628146973808468,0.9127875843879243,0.9787824818936337,0.848105793823558,0.6998508318463775,0.47601333484617253,1
0.40633140362599096,0.5128708381951403,0.0608079363074005,0.6366016318061456,0.8455579750365989,0.44250191765297947,0.18840268632033158,0.4881238307862788,0.35746848633235373,0.5508940137939085,0.7438124760078632,0.3122451347091342,0.6513817413808489,0.5211666691547526,0.04288041545153115,0.37713694855837715,0.28013428009452673,0.13210051648121088,1
0.04101551220805218,0.629058505881688,0.30308348711402194,0.8149392468470009,0.2223845004633651,0.973977531543739,0.6086330539949617,0.6486688056034491,0.7391614418270567,0.4400191476233969,0.03558034826241396,0.6168200584266049,0.016236464255293948,0.9323410724595553,0.3291049847406452,0.9567011085660517,0.13528312571854317,0.29472124385944154,1
0.16083233429828062,0.548621125060509,0.1528484132576248,0.6552605336988565,0.13975539505796794,0.7988334987742055,0.403533512489166,0.6635271547501992,0.04647730627908464,0.5779373080904168,0.2645619373375549,0.9613651273660581,0.6994480955728424,0.4661151955382399,0.6373506601702542,0.010398377433386442,0.1472402896671086,0.21368145557031581,1
0.41539191604816944,0.8996045911571742,0.9333644682597794,0.9186254122038943,0.39901117146403603,0.008999616489471007,0.846458329083655,0.6847019536888544,0.3964777178226116,0.8869518907641525,0.5222580762543112,0.6960006652279385,0.8885811185965161,0.4102775894020923,0.48113470919982426,0.9290243468494815,0.026235474085445548,0.0925331515877058,1
0.16654711860390284,0.3521439751138399,0.9898280917371649,0.2863292346855428,0.5638467150683194,0.40357780230559187,0.3784838388584856,0.4797539782412413,0.057281376742270476,0.23509241035808937,0.29020319857819027,0.39200549289702946,0.254597883049868,0.4872130910451635,0.05303522675576558,0.8644695055112278,0.41521504597293774,0.4871592710501344,1
0.6560126618845259,0.4132928422766065,0.8064608456208808,0.16221113629386205,0.8626949622098298,0.9502870523613839,0.5450586048619765,0.42660866369325684,0.41637210920389833,0.9459395973169836,0.32512366393854447,0.6676555678889561,0.37437806072308855,0.09804868564210628,0.2128939944317945,0.22277679989420202,0.0070733139276277154,0.4200199405957864,1
0.5903143819007285,0.2926797596220403,0.42355278673185537,0.3292469050806535,0.4578558930958735,0.8320807458506411,0.4959838981264458,0.15942998097611424,0.9737910459169419,0.49154620461364307,0.08389000806685958,0.9765343303229507,0.9286346656244087,0.2937142791054927,0.8047493572112514,0.8731152599476482,0.5465749171005027,0.8851462655600767,1
0.8825921788472887,0.4243125234232825,0.9046813675429647,0.17207358988348326,0.7916626461359306,0.47729922023004034,0.6804370196771569,0.9071712866848641,0.8302147232904721,0.08190557268023778,0.5203959916507797,0.0719774632511161,0.9503879697883183,0.9998205840752277,0.72887638971006,0.28603485810721796,0.21086289001358485,0.8338338774609421,1
