mcg,gvh,lip,chg,aac,alm1,alm2,Adjusted_p,class
0.07865168539325842,0.041428571428571426,0.06857142857142857,0.07142857142857142,0.09090909090909091,0.03428571428571429,0.050505050505050504,0.5642198874783144,0
0.011235955056179775,0.05714285714285715,0.06857142857142857,0.07142857142857142,0.08766233766233766,0.049999999999999996,0.06349206349206349,0.5904667866465619,0
0.0898876404494382,0.05714285714285715,0.06857142857142857,0.07142857142857142,0.07954545454545454,0.05285714285714286,0.06637806637806638,0.5141888386270408,0
0.09470304975922952,0.06999999999999999,0.06857142857142857,0.07142857142857142,0.08441558441558442,0.0642857142857143,0.05194805194805195,0.4946475995914199,0
0.03691813804173354,0.045714285714285714,0.06857142857142857,0.07142857142857142,0.08928571428571429,0.03571428571428571,0.050505050505050504,0.6018625257389303,0
0.10754414125200643,0.055714285714285716,0.06857142857142857,0.07142857142857142,0.05844155844155844,0.054285714285714284,0.06637806637806638,0.5176362339283688,0
0.046548956661316206,0.04,0.06857142857142857,0.07142857142857142,0.07142857142857142,0.032857142857142856,0.04906204906204907,0.6201032799909204,0
0.033707865168539325,0.04857142857142858,0.06857142857142857,0.07142857142857142,0.08279220779220779,0.04,0.05627705627705628,0.598651442190768,0
0.03210272873194221,0.06285714285714286,0.06857142857142857,0.07142857142857142,0.07467532467532467,0.07285714285714286,0.08225108225108224,0.5352565786273652,0
0.06741573033707865,0.05714285714285715,0.06857142857142857,0.07142857142857142,0.09090909090909091,0.025714285714285714,0.04329004329004329,0.5755279926066443,0
0.06741573033707865,0.03428571428571429,0.06857142857142857,0.07142857142857142,0.09253246753246752,0.038571428571428576,0.05339105339105339,0.5738036058822575,0
0.04012841091492777,0.06857142857142857,0.06857142857142857,0.07142857142857142,0.07142857142857142,0.02428571428571429,0.04184704184704185,0.6137388329523161,0
0.06260032102728731,0.045714285714285714,0.06857142857142857,0.07142857142857142,0.07467532467532467,0.03428571428571429,0.050505050505050504,0.5922193037923376,0
0.08186195826645265,0.07142857142857142,0.06857142857142857,0.07142857142857142,0.07467532467532467,0.045714285714285714,0.050505050505050504,0.535814809410315,0
0.03531300160513644,0.06142857142857143,0.06857142857142857,0.07142857142857142,0.07792207792207792,0.022857142857142857,0.04040404040404041,0.622075165783031,0
