laufkont,laufzeit,moral,verw,hoehe,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,alter,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,kredit
1.2393272396824611e-10,0.025515560940924567,0.12393272409217884,0.024786544917581945,0.005448566562285791,1.2393272396824611e-10,0.030983181115994254,0.12393272409217884,0.041310908113348095,1.2393272396824611e-10,0.12393272409217884,0.041310908113348095,0.004426168837084375,0.12393272409217884,1.2393272396824611e-10,1.2393272396824611e-10,0.08262181610276347,0.12393272409217884,1.2393272396824611e-10,0.12393272409217884,1
1.5746321709734518e-10,0.011578177885209187,0.1574632172548084,1.5746321709734518e-10,0.02208505245091171,1.5746321709734518e-10,0.0787316087061358,0.05248773918991161,0.10497547822236002,1.5746321709734518e-10,0.05248773918991161,1.5746321709734518e-10,0.04780133391915729,0.1574632172548084,1.5746321709734518e-10,0.05248773918991161,0.10497547822236002,1.5746321709734518e-10,1.5746321709734518e-10,0.1574632172548084,1
0.04190274704267284,0.014789204919931038,0.06285412050115513,0.11313741680151265,0.0040879042901067345,0.03142706031343169,0.09428118068887859,0.04190274704267284,0.04190274704267284,1.257082407508938e-10,0.12570824087660204,1.257082407508938e-10,0.008979160179343514,0.12570824087660204,1.257082407508938e-10,1.257082407508938e-10,0.04190274704267284,0.12570824087660204,1.257082407508938e-10,0.12570824087660204,1
1.8480436631738902e-10,0.021741690339791307,0.1848043665021934,1.8480436631738902e-10,0.019035643067282206,1.8480436631738902e-10,0.09240218334349887,0.12320291106306372,0.12320291106306372,1.8480436631738902e-10,0.061601455623934036,1.8480436631738902e-10,0.06600155958387188,0.1848043665021934,1.8480436631738902e-10,0.061601455623934036,0.061601455623934036,1.8480436631738902e-10,1.8480436631738902e-10,1.8480436631738902e-10,1
1.383259807056247e-10,0.016273644927223,0.13832598084395067,1.383259807056247e-10,0.014621118710764904,1.383259807056247e-10,0.06916299049113832,0.13832598084395067,0.09221732060874244,1.383259807056247e-10,0.13832598084395067,0.046108660373534206,0.04693202930630578,1.383259807056247e-10,0.06916299049113832,0.046108660373534206,0.046108660373534206,0.13832598084395067,1.383259807056247e-10,1.383259807056247e-10,1
2.0138372512062018e-10,0.017769152417909037,0.2013837253220039,2.0138372512062018e-10,0.022062011685655473,2.0138372512062018e-10,0.05034593148153878,2.0138372512062018e-10,0.13425581694846386,2.0138372512062018e-10,0.13425581694846386,2.0138372512062018e-10,0.1042880007102763,0.2013837253220039,2.0138372512062018e-10,0.06712790857492379,0.06712790857492379,2.0138372512062018e-10,2.0138372512062018e-10,2.0138372512062018e-10,1
1.3942112473150045e-10,0.008201242770685856,0.1394211248709216,1.3942112473150045e-10,0.02414975807134384,1.3942112473150045e-10,0.10456584368804646,1.3942112473150045e-10,0.0929474166270881,1.3942112473150045e-10,0.1394211248709216,1.3942112473150045e-10,0.04979325897209986,0.1394211248709216,0.06971056250517134,0.04647370838325461,0.04647370838325461,0.1394211248709216,1.3942112473150045e-10,1.3942112473150045e-10,1
1.8021666497930938e-10,0.005300490326666939,0.18021666515952603,1.8021666497930938e-10,0.011016876750702672,1.8021666497930938e-10,0.04505416642504401,0.06007222183998645,0.12014444349975624,1.8021666497930938e-10,0.18021666515952603,1.8021666497930938e-10,0.06758124954745767,0.18021666515952603,0.09010833266987134,1.8021666497930938e-10,0.06007222183998645,1.8021666497930938e-10,1.8021666497930938e-10,1.8021666497930938e-10,1
0.09796905897390491,0.02017010045477938,0.09796905897390491,0.02939071776074982,0.004571242638235022,9.796905887593585e-11,9.796905887593585e-11,0.09796905897390491,0.032656353056614344,9.796905887593585e-11,0.09796905897390491,0.06531270601525963,0.08047458417463065,0.09796905897390491,0.04898452953593698,0.032656353056614344,9.796905887593585e-11,0.09796905897390491,9.796905887593585e-11,0.09796905897390491,1
0.04429539997675112,0.039084176465708186,0.06644309989868356,0.03986585999236463,0.025650093010449446,0.06644309989868356,1.3288619953159476e-10,1.3288619953159476e-10,0.04429539997675112,1.3288619953159476e-10,0.13288619966448095,0.13288619966448095,0.009491871528000113,0.13288619966448095,1.3288619953159476e-10,1.3288619953159476e-10,1.3288619953159476e-10,0.13288619966448095,1.3288619953159476e-10,0.13288619966448095,1
