mcg,gvh,lip,chg,aac,alm1,alm2,class
0.2879932761289499,0.08095437852988772,5.23089827120848e-10,5.23089827120848e-10,0.3328753450545386,0.11324625175543836,0.1849307474850058,cp
0.04488371013590163,0.16304694552193458,5.706643073294459e-10,5.706643073294459e-10,0.35018037097736976,0.1882603906174918,0.2536285816059736,cp
0.2751372225926811,0.12493475947722799,4.372716566398471e-10,4.372716566398471e-10,0.24348080924809562,0.1532704780223727,0.20317672978507942,cp
0.2713206104729046,0.16078866702688815,4.092802422993656e-10,4.092802422993656e-10,0.2418474163134508,0.17721412594096433,0.14882917942723137,cp
0.15622071447364447,0.11514404643765985,6.045062406240566e-10,6.045062406240566e-10,0.3778164009945416,0.13710450878728198,0.21371432809785956,cp
0.3329273999249889,0.12109139822852492,4.4224684408901555e-10,4.4224684408901555e-10,0.18091916393320776,0.15957360397952053,0.2054884330492642,cp
0.21460742781075423,0.09408897118344892,6.586227936737827e-10,6.586227936737827e-10,0.3293113974955141,0.13579851481816563,0.22619368737487142,cp
0.14032768909839483,0.12744045239907795,5.947221084203272e-10,5.947221084203272e-10,0.3446684952474117,0.1532788945174869,0.23428446754818436,cp
0.10445333936458491,0.1549391198328059,4.648173581039656e-10,4.648173581039656e-10,0.24297271038279938,0.23001271375337765,0.26762211573679745,cp
0.25485820586817115,0.15430190716728245,5.400566731952902e-10,5.400566731952902e-10,0.3436724289370595,0.08351391907541082,0.1636535378719628,cp
0.25702667660808065,0.05187159730121677,5.446517659439326e-10,5.446517659439326e-10,0.35278580348560806,0.134759200365831,0.20355672114995993,cp
0.17565945908732367,0.23822768524425603,6.253476721246345e-10,6.253476721246345e-10,0.31267383668766485,0.09025636567426401,0.18318265205579615,cp
0.2545562364791649,0.11064959762581708,5.809103844857603e-10,5.809103844857603e-10,0.30365770156210325,0.1257641044386523,0.20537235873244178,cp
0.2661525490456521,0.18799664192260432,4.6446229066129206e-10,4.6446229066129206e-10,0.24278710694650132,0.1388598605590754,0.1642038405972423,cp
0.16146534237307505,0.20995736870128404,6.532007005940372e-10,6.532007005940372e-10,0.35629129188631187,0.08754236258848404,0.18474363314444356,cp
0.13787981536263452,0.1402434693318651,4.908521409435453e-10,4.908521409435453e-10,0.2565818014386145,0.20747358583812386,0.25782132704705774,cp
