height,length,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
0.0048719889916892705,0.01063099656215772,0.0001901961680329626,0.0025371399539352727,0.35903159867925594,0.6204058626773792,0.0002625784144002465,0.00020740361834739333,0.00033926355230048195,0.0015229713825015527,1
0.004815411412814848,0.008406032824412121,0.0001879872665168123,0.0016705844504025474,0.3075472746751133,0.675242754486634,0.00040587943032161715,0.00025770766325709533,0.0005029849571323799,0.0009633828333951353,1
0.006104916817565059,0.030195003187864233,0.0006877442181775743,0.005464663096972787,0.2430439130148154,0.7097283583965229,0.000678834595346902,0.000712839138661488,0.0015516814272945507,0.0018320461067791527,1
0.004599392814188307,0.01003617398952599,0.00017955436476338262,0.002395182602552194,0.310697898757485,0.6703478846583399,0.0006206472657906674,0.00016782787069360926,0.0003803337187082764,0.0005751039579527882,1
0.004369025785888824,0.00254226674705049,5.3605355685882256e-05,0.0006441823879508263,0.33158872641872467,0.6597749558830902,0.00017704587438602734,4.251299663824146e-05,0.0001521199898166398,0.0006555585607681478,1
0.0032134930409583894,0.008180725625666421,0.00014785240673407526,0.0019137276347670946,0.3388861631308565,0.6451085991119542,0.0001875170725999706,0.0002931429952147082,0.0004615317501124119,0.001607247231136242,1
0.005721585082672985,0.0049939488357566494,0.00010849111296063286,0.001129373247808248,0.3537906571393556,0.6328364883291884,0.00027822651942258634,8.351074167079624e-05,0.00019921316722880985,0.0008585058239354259,1
0.008251053662057698,0.015003612980094757,0.0002645910600429962,0.0036799074230144608,0.49097893828955164,0.478554420661589,0.0030092039598351886,0.00015053773850738864,0.00010773256890808044,1.656398690136046e-09,1
0.005715138503366955,0.00831386943881865,0.0001434293197479358,0.0021215979417935887,0.4211658353574697,0.5602022735313981,0.0020843419664597655,0.00010427080719516314,0.00014924198643635802,1.147313824227666e-09,1
0.003590319337206856,0.007834310093065337,0.0001401614373752145,0.0018696968842401877,0.3299665667730231,0.6546743139820133,0.0010911742102383201,0.00021834560480748214,0.00039064616055853514,0.00022446551747163404,1
0.002770350265533693,0.0010075145129579165,1.1588093217125572e-05,0.0004070189860612789,0.43881696544128423,0.556147704715385,0.0007858370375999973,1.6848411469098802e-05,3.617198034398633e-05,5.561477041592373e-10,1
0.004036628260281115,0.0029360622617046884,4.5024796605683864e-05,0.000894871517456842,0.41116010000407666,0.5796874598130551,0.001145029216491745,2.454952166992746e-05,7.027379830535851e-05,8.10352960573077e-10,1
0.004382649158189424,0.00796935452006425,0.00014054081261091858,0.001954628321453348,0.3535971955607776,0.629378430201478,0.002131167553736712,0.0001599190819160062,0.00028611390995691066,8.79816641883336e-10,1
0.003934574657579899,0.008585497571861625,0.00015360072118139777,0.002048971494499599,0.31411326069149703,0.6694490782260935,0.0006377607446041979,0.00019142537731038726,0.0003938548242650311,0.000491975691107451,1
0.004912388896322488,0.008575321767704628,0.00019177313868336593,0.001704228320489305,0.2937680641926216,0.6888414561287439,0.0005175665888192665,0.0002389979201162338,0.0005131145621034291,0.0007370884843957172,1
0.006186420159480845,0.01574903237217237,0.0002846364059262603,0.003684191335901527,0.423144855732405,0.5468171076917551,0.0035096763262584055,0.0003009824228262616,0.0003230963113507192,1.2419235976996172e-09,1
0.004635344875297326,0.008091699303308941,0.0001809577080269638,0.0016081149474200895,0.27720042521484656,0.7063414485061574,0.000488377383334719,0.0002255191532264177,0.0005325940069072693,0.0006955189014742177,1
0.008323728335939432,0.05448874497497641,0.0010212603715772806,0.011802870552821185,0.3172762285043377,0.6021257876627507,0.0015178552390039501,0.0007593116352363743,0.001123026255119815,0.0015611864682372476,1
0.0054525950883979124,0.007931944893545026,0.0001368404289640772,0.0020241354623625777,0.40181821733948164,0.5811459559327014,0.0008838188130202555,9.948078963277704e-05,0.0001661169015234966,0.0003408943503707095,1
0.004295820739577334,0.010415288379777928,0.00013576025888006773,0.0031969192312848124,0.44271562796131186,0.5369224926857983,0.0020889453144941907,0.00010450109321495914,0.00012464318581270777,1.149847710184296e-09,1
0.0030527414250449427,0.007401422037425526,9.647538649361452e-05,0.002271828449439956,0.34994669122340516,0.6359225370507124,0.0007422345801870125,9.901528578967726e-05,0.0002125794676104392,0.00025447509389113883,1
0.004966720824111684,0.04094244566636033,0.0006001474640613928,0.011123251827271462,0.2776647690292054,0.6604607339067791,0.0004213169621897603,0.000443008835196889,0.0008934710166676554,0.0024841344681566157,1
0.007227133222057552,0.01261605995478231,0.00028213768309637885,0.0025072699602835024,0.3734246950030651,0.6013744369837246,0.0015228923917784847,0.0002812922625393056,0.0004026122378339458,0.0003614703008386208,1
0.003839446078553805,0.008377920830962893,0.0001498870241200851,0.0019994322777608293,0.3065187553781286,0.6770931392816486,0.0002333784389775285,0.0001867971707778235,0.000401042428248351,0.0012002010908213872,1
0.0039117043179757805,0.004267796895001578,7.090051368187941e-05,0.0011596484267940193,0.371100178967789,0.6178385608407772,0.001426619751303565,7.136774839382244e-05,0.00015322175300869193,7.852744841897852e-10,1
0.02972139275131861,0.08647201931587509,0.004392486916070258,0.007096274863115578,0.38182686330837146,0.47495078372531724,0.003958444477637443,0.004157260137840908,0.0037081416557003255,0.0037163328487531846,1
