ip_mean,ip_std,ip_kurtosis,ip_skewness,dm_mean,dm_std,dm_kurtosis,dm_skewness,Adjusted_p,class
0.09121881971202596,0.07046517035152884,-0.003633601387152094,-0.0012841992235769917,0.0017904797192271856,0.021590343127598357,0.028863519730023428,0.007791999658351205,0.7831974683119741,0
0.06652301764348002,0.07451290666526238,0.007207957165050665,-0.0009454398733743635,0.0009385164140320325,0.016788513216853606,0.038276398562410545,0.01337043346679025,0.7833276967394949,0
0.06685256540255526,0.04978498088958526,0.005008480724708339,0.0019294041799171702,0.0017465013826213818,0.024566425227859647,0.0279960079308916,0.006630128538482295,0.815485505723379,0
0.08874467653619955,0.07235659964278891,-0.0010597690546293355,-0.0011678106057489916,0.0020384426802383406,0.023679118695229685,0.02495849022965729,0.0056248554792157545,0.7848253963970488,0
0.05757959845873048,0.051468761315203115,0.009307646654516619,0.002062160311787923,0.0006596750468488393,0.012956989400571503,0.05164170964953042,0.02650788500243514,0.787815574160376,0
0.06072297708375583,0.0590942353019168,0.008239410695080466,0.0007648883874090379,0.0009155915363324969,0.01643255563487449,0.038440200908155864,0.013790293026888948,0.8015998474255861,0
0.07754005272764145,0.06170985656153116,0.00048733090728084985,-0.0002058827127581239,0.0005590862987411144,0.010483806529033685,0.06950751599496431,0.05035224913322206,0.7295659845603435,0
0.08461265463394849,0.05042075193447767,-0.002452480427240412,0.000714998479669832,0.0006830677789669149,0.016244863919954975,0.04899941045449169,0.020805658814578985,0.7799710744111519,0
0.06960048671669032,0.06659705748808092,0.007012311609341132,0.0003126713022256834,0.0013048465994487393,0.016366779269231267,0.0325747142614716,0.011332118988258947,0.7948990137652514,0
0.06960555668221456,0.04998092219546442,0.007216690752318691,0.0021344519676242367,0.002282662803662961,0.028222070316263184,0.02677009741021649,0.0060647247355796775,0.8077228231366558,0
0.09220239302372744,0.057309895797618846,-0.00496201051583322,0.0005211926287265523,0.0030083053554205053,0.03277444625640912,0.021990059565610336,0.003970546469691524,0.7931851714186289,0
0.08647840194686676,0.055753606059685046,-0.0012556484376943483,0.00021174515207833362,0.0009132522631206893,0.013566031461775584,0.04332701446242396,0.020523017441002857,0.7804825796507411,0
