height,length,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,Adjusted_p,class
0.00049813200498132,0.0010869565217391304,1.944633506035309e-05,0.0002594074783097731,0.03670886075949368,0.06343283582089553,2.684699232943076e-05,2.1205695243865494e-05,3.4687594848892164e-05,0.00015571473061351605,0.8977559060664845,1
0.0006226650062266501,0.0010869565217391304,2.4307918825441363e-05,0.0002160177134525031,0.03976793248945148,0.0873134328358209,5.248284214775939e-05,3.332323538321721e-05,6.50392403416728e-05,0.00012457178449081283,0.8706932704121204,1
0.0006226650062266501,0.0030797101449275364,7.014570861055936e-05,0.0005573629451408118,0.024789029535864978,0.07238805970149255,6.923698021800565e-05,7.270524083611027e-05,0.0001582621514980705,0.00018685767673621924,0.8980059649084485,1
0.00049813200498132,0.0010869565217391304,1.944633506035309e-05,0.0002594074783097731,0.033649789029535866,0.07260127931769725,6.721840936616875e-05,1.8176310209027567e-05,4.119151888305944e-05,6.228589224540641e-05,0.8916961171819726,1
0.0006226650062266501,0.00036231884057971015,7.639631630852999e-06,9.180752821731381e-05,0.04725738396624473,0.09402985074626866,2.5232135647961246e-05,6.058770069675856e-06,2.1679746780557603e-05,9.342883836810962e-05,0.8574819347899658,1
0.00049813200498132,0.0012681159420289856,2.2918894892558998e-05,0.000296651911663653,0.05253164556962027,0.1,2.906742026645135e-05,4.544077552256892e-05,7.154316437584009e-05,0.00024914356898162566,0.8449873407476667,1
0.0006226650062266501,0.0005434782608695652,1.180670342950009e-05,0.00012290663006780348,0.03850210970464135,0.06886993603411513,3.0278562777553492e-05,9.088155104513783e-06,2.1679746780557603e-05,9.342883836810962e-05,0.8911726223576193,1
0.00049813200498132,0.0009057971014492754,1.597377522814718e-05,0.00022216304495589328,0.029641350210970467,0.02889125799573561,0.00018167137666532095,9.088155104513783e-06,6.503924034167281e-06,0.0,0.9396280624108753,1
0.00049813200498132,0.0007246376811594203,1.2501215395941271e-05,0.0001849186116020134,0.03670886075949368,0.04882729211087421,0.00018167137666532095,9.088155104513783e-06,1.3007848068334562e-05,0.0,0.9128398902366552,1
0.00049813200498132,0.0010869565217391304,1.944633506035309e-05,0.0002594074783097731,0.04578059071729958,0.09083155650319831,0.00015139281388776746,3.029385034837928e-05,5.419936695139401e-05,3.114294612270321e-05,0.8612568814621013,1
