vconst_corr,vconst_2,vconst_3,vconst_4,vconst_5,vconst_6,vconst_7,ah_corr,ah_bolus,slm_corr,efficiency_factor,tidal_mix_max,vertical_decay_scale,convect_corr,bckgrnd_vdc1,bckgrnd_vdc_ban,bckgrnd_vdc_eq,bckgrnd_vdc_psim,Adjusted_p,outcome
0.04775951851756472,0.051599358129623046,0.014023397684280507,0.0165637802010609,0.009443797989012227,0.040995588012416456,0.023674850662678062,0.03159270889567101,0.026333923881554262,0.013570308827060396,0.005769801623485164,0.0483847046523975,0.05555555555555555,0.024851407160688642,0.01707079515899166,0.04780777879009733,0.04430590781301006,0.04834217324774562,0.4323546431971068,0
0.03368705669403935,0.025401500203674206,0.019961994770898127,0.01701678712519441,0.046893800640110034,0.05208336413044772,0.024582603039130617,0.046066825888531296,0.01639862365397033,0.034243500880502716,0.054212903329829566,0.05090751081905362,0.04706381975478976,0.04799932882379871,0.01925150586468959,0.019832064183851913,0.024368249019123794,0.02846137746217775,0.3915671837161865,1
0.05546690075038618,0.020692987574219054,0.02876272942734926,0.028066248082766445,0.03440169359024139,0.03372885040025733,0.04143648824600296,0.010887963153762656,0.045410471030452745,0.03772352309718262,0.04463208099740736,0.035835859864144476,0.03999221305995778,0.051376450030523865,0.017507573781462504,0.013925589241852911,0.015870950613544498,0.02032320053248211,0.4239582265260038,1
0.04355280982956869,0.005691753938755897,0.010940349049855662,0.023426556018432697,0.041256613721573125,0.027332920121565556,5.2256999924960495e-05,0.021807219683549713,0.0003791814463537438,0.02614524893130663,0.03320806418710266,0.0423954839578437,0.020156372076713714,0.050710421354884676,0.054376804549646315,0.04711698854575322,0.0388806017692432,0.026445185269231803,0.48612516854869403,1
0.02257396686811061,0.028492824344174456,0.0033782186837444717,0.03536675732256365,0.046975443057588835,0.024583439869609973,0.010466815906685087,0.02711799059923771,0.019859360351797428,0.030605222988550475,0.04132291533377017,0.017346951928285233,0.03618787452115827,0.028953703841930696,0.002382245302862842,0.02095205269768762,0.015563015560807044,0.007338917582289493,0.580532283239146,1
0.0022786395671140097,0.034947694771204886,0.01683797150633455,0.04527440260261117,0.012354694470186951,0.05410986286354105,0.033812947444164534,0.03603715586685829,0.0410645245459476,0.02444550820129983,0.0019766860145785537,0.034267781023700275,0.0009020257919607749,0.05179672624775307,0.01828361026336918,0.05315006158700287,0.007515729206585733,0.01637340243663564,0.5145705755891511,1
0.008935129683237812,0.0304789513922505,0.008491578514312488,0.036403362983269814,0.0077641886143315535,0.0443796388207892,0.022418528471620333,0.0368626197083444,0.0025820725710602576,0.03210762822724538,0.014697885407641942,0.05340917374255878,0.03885822753182458,0.025895288641013328,0.03540837000945857,0.0005776876351881355,0.008180016092617145,0.011871191976128657,0.5806784599771071,1
0.023077328669342746,0.04997803284206523,0.05185358156998773,0.05103474512243858,0.02216728730355755,0.0004999786938595006,0.04702546272686972,0.03803899742715858,0.02202653987903398,0.04927510504245292,0.029014337569683954,0.03866670362377436,0.04936561769980645,0.02279319941122735,0.026729706066656905,0.05161246371386008,0.0014575263380803083,0.005140730643761433,0.42024265565638264,1
0.009252617700216825,0.019563554172991108,0.0549904495409536,0.015907179704752375,0.031324817503795524,0.022420989016977328,0.021026879936582532,0.02665299879118007,0.0031822987079039152,0.013060689464338297,0.016122399921010572,0.021778082938723863,0.014144326836103779,0.027067393946953525,0.002946401486431421,0.04802608363951265,0.023067502554052096,0.027064403947229688,0.6024009301902908,1
0.03644514788247366,0.022960713459811474,0.04480338031227115,0.009011729794103448,0.047927497900546095,0.05279372513118799,0.030281033603443135,0.02370048131629205,0.023131783844661018,0.05255219985094354,0.018062425774363584,0.03709197599383089,0.0207987811512827,0.0054471492023392375,0.011827444135099693,0.012376488883011223,0.00039296188486820637,0.023334441144210353,0.5270606387352605,1
