fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Adjusted_p,quality
0.022526146419951733,0.0361145703611457,0.0,0.0062266500622665,0.009713158294126575,0.013568521031207597,0.008994539029874718,0.05159524763049015,0.055118110236220465,0.012520413718018512,0.013986013986013986,0.7696366292306841,5
0.02574416733708769,0.0473225404732254,0.0,0.010585305105853053,0.013052056457732586,0.032564450474898234,0.019595245743655638,0.04492057135228962,0.03292770221904081,0.019052803483941214,0.019580419580419586,0.7346547377718562,5
0.02574416733708769,0.039850560398505604,0.0036363636363636364,0.008717310087173101,0.012141447867658221,0.018995929443690638,0.01541920976549952,0.04625550660792958,0.03722261989978524,0.017419706042460535,0.019580419580419586,0.7550167593334266,5
0.053097345132743355,0.009962640099626403,0.05090909090909091,0.0062266500622665,0.009561390195780848,0.021709633649932156,0.017346610986186957,0.05293018288613011,0.030064423765211176,0.01360914534567229,0.019580419580419586,0.7150024673869397,6
0.022526146419951733,0.0361145703611457,0.0,0.0062266500622665,0.009713158294126575,0.013568521031207597,0.008994539029874718,0.05159524763049015,0.055118110236220465,0.012520413718018512,0.013986013986013986,0.7696366292306841,5
0.022526146419951733,0.033623910336239106,0.0,0.005603985056039851,0.009561390195780848,0.016282225237449117,0.010921940250562158,0.05159524763049015,0.055118110236220465,0.012520413718018512,0.013986013986013986,0.7682606169332341,5
0.026548672566371688,0.0298879202988792,0.005454545454545454,0.0043586550435865505,0.008650781605706483,0.018995929443690638,0.01702537744940572,0.042250700841008966,0.040085898353614875,0.007076755579749592,0.013986013986013986,0.7856787493774269,5
0.021721641190667742,0.03300124533001245,0.0,0.0018679950186799498,0.00804370921232357,0.018995929443690638,0.0048185030517186,0.030236283540248602,0.04652827487473157,0.007621121393576482,0.022377622377622374,0.8047876745667281,7
0.02574416733708769,0.028642590286425903,0.0018181818181818182,0.006849315068493151,0.009257853999089391,0.010854816824966078,0.00385480244137488,0.04492057135228962,0.04438081603435933,0.013064779531845398,0.01538461538461538,0.7952274899212713,7
0.0168946098149638,0.028642590286425903,0.007272727272727273,0.005603985056039851,0.012900288359386843,0.018995929443690638,0.018952778670093158,0.038913362701909066,0.03865425912670006,0.011431682090364726,0.011188811188811175,0.7905489759888875,5
0.008045052292839904,0.03082191780821918,0.0,0.0043586550435865505,0.011686143572621037,0.0203527815468114,0.01702537744940572,0.028233880656787926,0.06012884753042235,0.010342950462710943,0.02097902097902098,0.788025372657574,5
0.02574416733708769,0.030510585305105854,0.026363636363636363,0.0043586550435865505,0.01548034603126423,0.010854816824966078,0.007388371345968519,0.048925377119209496,0.03722261989978524,0.06695699510070768,0.00979020979020978,0.7164042198384726,5
0.031375703942075624,0.009962640099626403,0.05090909090909091,0.005603985056039851,0.012141447867658221,0.04613297150610584,0.031159653067780277,0.045588038980109595,0.040085898353614875,0.02286336418072945,0.029370629370629366,0.6748065766665396,7
0.026548672566371688,0.012453300124533002,0.046363636363636364,0.005603985056039851,0.04993170435574443,0.021709633649932156,0.016061676839061997,0.045588038980109595,0.021474588403722256,0.04082743603701688,0.011188811188811175,0.7022485164350206,6
0.024135156878519706,0.016811955168119553,0.028181818181818183,0.008717310087173101,0.010623766884200928,0.029850746268656716,0.020880179890780597,0.05426511814177006,0.05583392984967788,0.017419706042460535,0.018181818181818167,0.7150984944250045,5
0.026548672566371688,0.019302615193026153,0.01909090909090909,0.0043586550435865505,0.014266201244498407,0.012211668928086838,0.00995823964021844,0.043585636096649664,0.030780243378668568,0.03157321720195972,0.01538461538461538,0.7729393262314095,5
0.031375703942075624,0.023038605230386054,0.01,0.008717310087173101,0.010927303080892398,0.010854816824966078,0.019595245743655638,0.04492057135228962,0.030780243378668568,0.010887316276537835,0.013986013986013986,0.7849168700973411,5
0.018503620273531782,0.017434620174346202,0.012727272727272728,0.009339975093399752,0.011079071179238127,0.027137042062415195,0.010921940250562158,0.04492057135228962,0.04939155332856122,0.01633097441480675,0.018181818181818167,0.7640315409617583,6
0.013676588897827836,0.016811955168119553,0.014545454545454545,0.0031133250311332493,0.010320230687509487,0.013568521031207597,0.005460970125281079,0.036243492190629154,0.04294917680744451,0.012520413718018512,0.012587412587412593,0.8182024592099619,5
0.024135156878519706,0.01805728518057285,0.021818181818181816,0.005603985056039851,0.010320230687509487,0.004070556309362279,0.0016061676839061998,0.040915765585369,0.03865425912670006,0.014153511159499182,0.01538461538461538,0.8052802851297242,5
0.02011263073209976,0.036737235367372355,0.0,0.0062266500622665,0.010320230687509487,0.017639077340569877,0.00931577256665596,0.04759044186356953,0.052254831782390855,0.011976047904191617,0.013986013986013986,0.77384106770736,5
0.02574416733708769,0.032689912826899134,0.0,0.006849315068493151,0.010623766884200928,0.009497964721845319,0.0032123353678123997,0.042250700841008966,0.04581245526127415,0.014153511159499182,0.019580419580419586,0.7895854509514595,6
0.0168946098149638,0.03455790784557908,0.006363636363636364,0.009339975093399752,0.011686143572621037,0.021709633649932156,0.024413748795374238,0.03824589507408909,0.04366499642090194,0.011431682090364726,0.02377622377622377,0.757915547502914,5
0.029766693483507647,0.03331257783312578,0.010909090909090908,0.008717310087173101,0.01077553498254667,0.018995929443690638,0.03437198843559268,0.043585636096649664,0.030780243378668568,0.017964071856287428,0.019580419580419586,0.7412405039132473,5
