compactness,circularity,distance_circularity,radius_ratio,pr.axis_aspect_ratio,max.length_aspect_ratio,scatter_ratio,elongatedness,pr.axis_rectangularity,max.length_rectangularity,scaled_variance,scaled_variance.1,scaled_radius_of_gyration,scaled_radius_of_gyration.1,skewness_about,skewness_about.1,skewness_about.2,hollows_ratio,Adjusted_p,class
0.026570048309178744,0.03205128205128205,0.033179012345679014,0.017952450266860747,0.015262515262515264,0.008385744234800839,0.01815541031227306,0.025396825396825397,0.013888888888888888,0.03253968253968254,0.013450292397660818,0.01298960831334932,0.02620545073375262,0.00804093567251462,0.01515151515151515,0.02168021680216802,0.02037037037037037,0.02962962962962963,0.629100121321053,0
0.021739130434782608,0.017094017094017096,0.03395061728395062,0.008976225133430374,0.006105006105006105,0.007337526205450733,0.013435003631082063,0.030158730158730156,0.009259259259259259,0.01984126984126984,0.011695906432748537,0.009725552891020516,0.017120894479385043,0.009502923976608187,0.022727272727272728,0.01897018970189702,0.024074074074074074,0.03333333333333333,0.6849530672366817,0
0.03743961352657005,0.03632478632478633,0.05092592592592592,0.025473071324599708,0.0115995115995116,0.008385744234800839,0.03449527959331881,0.009523809523809525,0.027777777777777776,0.031746031746031744,0.027192982456140352,0.03004263256061817,0.038784067085953874,0.01023391812865497,0.03535353535353535,0.012195121951219513,0.022222222222222223,0.027777777777777776,0.5225061908867454,1
0.024154589371980676,0.017094017094017096,0.03240740740740741,0.013343037360504609,0.009768009768009768,0.007337526205450733,0.011619462599854757,0.031746031746031744,0.009259259259259259,0.01984126984126984,0.008771929824561403,0.008326671995736744,0.006289308176100629,0.0029239766081871343,0.01515151515151515,0.013550135501355013,0.0425925925925926,0.04814814814814815,0.6776751113480173,0
0.014492753623188406,0.023504273504273504,0.02314814814814815,0.0245026686074721,0.03418803418803419,0.05241090146750524,0.013435003631082063,0.030158730158730156,0.009259259259259259,0.020634920634920634,0.0324561403508772,0.009392486011191047,0.027603074772886094,0.049707602339181284,0.022727272727272728,0.014905149051490516,0.007407407407407408,0.003703703703703704,0.5863624704133763,2
0.028985507246376812,0.021367521367521368,0.02546296296296296,0.016739446870451237,0.010989010989010988,0.0041928721174004195,0.014887436456063906,0.025396825396825397,0.009259259259259259,0.01984126984126984,0.013450292397660818,0.01179056754596323,0.022012578616352203,0.005116959064327485,0.03282828282828283,0.0013550135501355014,0.044444444444444446,0.0425925925925926,0.6492871564530988,2
0.020531400966183572,0.021367521367521368,0.020061728395061727,0.012857836001940806,0.010989010989010988,0.007337526205450733,0.00907770515613653,0.03492063492063492,0.004629629629629629,0.022222222222222223,0.00935672514619883,0.006461497468691713,0.019217330538085255,0.005847953216374269,0.007575757575757575,0.004065040650406504,0.03148148148148148,0.03888888888888889,0.713110109180323,0
0.01570048309178744,0.002136752136752137,0.01697530864197531,0.008733624454148471,0.008547008547008548,0.005241090146750524,0.0036310820624546117,0.044444444444444446,0.0,0.007142857142857142,0.003216374269005848,0.0025979216626698643,0.0010482180293501049,0.003654970760233918,0.005050505050505051,0.01897018970189702,0.044444444444444446,0.05,0.7584647254137151,0
0.01570048309178744,0.006410256410256411,0.02314814814814815,0.009461426491994178,0.008547008547008548,0.007337526205450733,0.007625272331154685,0.0380952380952381,0.004629629629629629,0.009523809523809525,0.006725146198830409,0.005462296829203304,0.006289308176100629,0.005116959064327485,0.005050505050505051,0.013550135501355013,0.03333333333333333,0.03888888888888889,0.7551046284829785,0
0.020531400966183572,0.002136752136752137,0.020061728395061727,0.0077632217370208634,0.004884004884004884,0.0041928721174004195,0.0039941902687000725,0.044444444444444446,0.0,0.0,0.005263157894736842,0.002664535038635758,0.0031446540880503146,0.0043859649122807015,0.012626262626262626,0.03523035230352303,0.037037037037037035,0.03888888888888889,0.7527505322610166,1
0.018115942028985508,0.027777777777777776,0.026234567901234566,0.016254245511887436,0.012820512820512822,0.0041928721174004195,0.014524328249818447,0.026984126984126985,0.009259259259259259,0.023809523809523808,0.014619883040935672,0.0109912070343725,0.029000698812019568,0.008771929824561403,0.012626262626262626,0.014905149051490516,0.024074074074074074,0.025925925925925925,0.6791117131498308,2
0.01932367149758454,0.019230769230769232,0.034722222222222224,0.009704027171276079,0.006715506715506716,0.008385744234800839,0.014524328249818447,0.028571428571428567,0.009259259259259259,0.020634920634920634,0.012573099415204679,0.010724753530508925,0.01816911250873515,0.009502923976608187,0.020202020202020204,0.017615176151761516,0.02037037037037037,0.02962962962962963,0.6901410364275748,0
