Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Sex_F,Sex_I,Sex_M,Rings
0.1880632282976996,0.19080806974915404,0.03078911290368164,0.0664101070821146,0.055045088087153644,0.04846076839666224,0.05419523314987869,3.662283912349702e-10,3.662283912349702e-10,0.36622839160119863,15
0.17857261903261099,0.16959624141555416,0.03827171856763155,0.03803677029533008,0.03183018490617951,0.030368780950785063,0.032801000741084746,4.805226826492559e-10,4.805226826492559e-10,0.4805226831297785,7
0.19506589597186144,0.19461556377208622,0.03790155234661049,0.07584337519448983,0.05451068100248157,0.058896977225430365,0.06591592543768017,0.31725002841485983,3.1725002809760975e-10,3.1725002809760975e-10,9
0.17912864456825234,0.18921197679068671,0.04017311125895977,0.06611183679453184,0.052386601490143986,0.054271519393476096,0.05555138611646912,3.6316492249798537e-10,3.6316492249798537e-10,0.3631649228611503,10
0.17337212874500443,0.1691156701673078,0.035619053051859736,0.03617254550115174,0.029943539088667245,0.02583495188269448,0.026822992802995976,5.031191172509613e-10,0.5031191177540804,5.031191172509613e-10,7
0.1965635050720926,0.17112587505772184,0.034939101243283026,0.05144296047965667,0.039127638195231185,0.04213369173630028,0.049075817123765915,4.1559140984517395e-10,0.41559141026076535,4.1559140984517395e-10,8
0.18637798507334455,0.18340048102262435,0.0402372001659908,0.08325473567371564,0.04810785262067379,0.056273803718974225,0.0992277018483577,0.3031202392700785,3.0312023896695824e-10,3.0312023896695824e-10,20
0.1930666848540909,0.18902792174084873,0.033625811489979035,0.082467376670556,0.059896004745528385,0.05963478981694224,0.07830407664866715,0.3039773334254327,3.039773331214554e-10,3.039773331214554e-10,16
0.19197846766911497,0.18802596981265118,0.03928762917494074,0.06383700531332885,0.051470757218906586,0.05237384950256166,0.05786615571219902,3.551601645308164e-10,3.551601645308164e-10,0.35516016488597657,9
0.18529488520140586,0.1867864229746972,0.0383190170102604,0.09124771019751127,0.060859463497399055,0.057201875019916644,0.09162069926348489,0.2886699262579848,2.886699259693149e-10,2.886699259693149e-10,19
0.2011319230660991,0.18066191412291235,0.04097791025283905,0.07081230420671478,0.04292858316727799,0.06401618219060322,0.06872090905872896,0.33075027327332396,3.307502729425737e-10,3.307502729425737e-10,14
0.18688679561772076,0.19314658530283943,0.03792243621549661,0.055741103157741285,0.04361995935801801,0.04129049503204337,0.05182578339016146,3.895668407572786e-10,3.895668407572786e-10,0.3895668411468454,10
0.19503512636480203,0.18996030330249808,0.04154815919008322,0.06645078527016818,0.050634134796835054,0.043271354718105275,0.06532665759707638,3.477734777171112e-10,3.477734777171112e-10,0.3477734780648847,11
