AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,eyeDetection
0.004128652328484298,0.09140125793369498,0.21461481195422955,0.001021442822957596,0.19888700275295332,0.001949187254561238,0.0013726907768035056,0.010563612464540994,0.004180699148340142,0.19233577575006,0.10193232501625096,0.1644488739180482,0.011529028459203223,0.0016346394198717919,0
0.004133268161320094,0.09127305879470395,0.2154613814826116,0.0010243241156711255,0.19866386854001997,0.001954656481109949,0.001376504662615276,0.010294815990541568,0.0041747241410359966,0.19188169071221234,0.10179797865593317,0.16478000170548776,0.01155024648079741,0.0016334800759397663,0
0.004144241916533005,0.09158984335439245,0.21593375038837298,0.0010307414794724955,0.19855256832629967,0.0019547047265934085,0.0013785175981386795,0.009061357125086192,0.004177395323903702,0.1918435510090314,0.10186188772520877,0.16527267405112336,0.011559693711737505,0.0016390732641061666,0
0.0041326086702599945,0.09170176688850677,0.21532846377961892,0.001027219385686884,0.19852087597362325,0.0019475033402310711,0.0013745740393121713,0.0091061313997114,0.004178615832028563,0.19230499989657193,0.10199029496677431,0.1652163505911342,0.01153275270539329,0.001637842531147162,0
0.00412692217049116,0.09164700251998652,0.2149289209309556,0.0010238201892961147,0.19876323469531795,0.0019507492829845803,0.0013727012906781175,0.008659898527625512,0.004166379209588745,0.19288296996922916,0.10215228613713917,0.16515998482758976,0.011527158484602963,0.0016379717645146437,0
0.004139846279774702,0.09151806680284469,0.21539240089410622,0.0010298665054168615,0.19951465424292672,0.001960453114227768,0.0013773792819975579,0.0071519530669050604,0.0041738840273516,0.1928876846283713,0.10229518498199439,0.16534819302870504,0.011569507380942345,0.0016409257644355853,0
0.004151272110557076,0.09153283190312968,0.2158488877024521,0.0010322565341785775,0.19997710160885065,0.0019640164138426475,0.0013793560552526098,0.007027914345873125,0.004201716022406824,0.19301811668668062,0.10167098018441856,0.16495646696924135,0.011598999800937265,0.0016400836621790565,0
0.004160460994336599,0.09200550150259698,0.21578629316219558,0.0010273150290311204,0.20009092817436183,0.0019630240439431398,0.0013780659390304803,0.0068816942230892995,0.004193334708176164,0.1933718836600771,0.10114342372507588,0.16476121023660295,0.011595102125157053,0.0016417624763259795,0
0.004158900003024794,0.09227737248495842,0.21553542384804925,0.0010245892039498702,0.200076271424659,0.001963086517259745,0.0013801577848593424,0.005917515117439135,0.004164694589932812,0.19322778097946897,0.10176370879585143,0.1652625161046227,0.011602066212964597,0.001645916932959764,0
0.004152548557201886,0.0921762687489727,0.21524017214510796,0.0010245776565454068,0.19967948416341222,0.001958426213976294,0.0013791084000655917,0.0059819198838966005,0.004168135932667792,0.19285114124776823,0.10278660728006092,0.16534573095404634,0.011610524255206253,0.001645354561072106,0
0.004152832049127032,0.09214273716272463,0.2149822168563502,0.001025272566304842,0.19955670165577172,0.001955245902484037,0.0013756766562560891,0.007016346420910645,0.004185747205598417,0.1928643070760652,0.10256932517955593,0.16493707766561355,0.011596900900637674,0.001639612702600112,0
0.004160789595924293,0.0919344737935329,0.21510851323037167,0.0010257452844395813,0.20022743780043387,0.001966718235697037,0.0013811205752844798,0.006974294589431086,0.004190412330578944,0.1933645318028195,0.10158911871283077,0.16483148009137533,0.011604434308944528,0.0016409296483360478,0
0.004166738183668004,0.09158346580332495,0.21519689436275316,0.001023036890988592,0.20072575939447934,0.0019781183568497677,0.0013892600460444385,0.006258958012735762,0.00419691037576516,0.19399024703493015,0.10121218398553491,0.16499792287723006,0.011633426741187187,0.0016470779345085515,0
0.004152908118074477,0.09168227248577372,0.21475676875202176,0.0010183844793265878,0.20028753114477876,0.001971552667953301,0.0013857131403432858,0.007202582324664624,0.0042079825546614815,0.1936759581297894,0.10132730702829158,0.16508322863936026,0.011605357827387799,0.0016424527075731125,0
0.004140084905231943,0.09187187652148004,0.21437337899427347,0.0010169296554115152,0.19961650850981064,0.0019643574876226618,0.0013784345122255762,0.008871282708099407,0.004204189942683607,0.19276591826948555,0.10137743995571918,0.1652248233518701,0.011557180145369397,0.0016375950407168161,0
