xbox ,ybox ,width ,height,onpix ,xbar ,ybar ,x2bar,y2bar ,xybar ,x2ybar,xy2bar,xedge ,xedgey,yedge ,yedgex,letter
0.02325581406300703,0.09302325572877229,0.03488372100730124,0.05813953489588967,0.011627907118712815,0.09302325572877229,0.15116279045024336,1.7441860416441318e-10,0.06976744184018388,0.06976744184018388,0.11627906961736072,0.09302325572877229,1.7441860416441318e-10,0.09302325572877229,1.7441860416441318e-10,0.09302325572877229,T
0.04901960787485583,0.11764705869377165,0.029411764783737034,0.06862745096597464,0.019607843238177627,0.09803921560265284,0.04901960787485583,0.04901960787485583,0.03921568632929644,0.12745098023933105,0.029411764783737034,0.08823529405709343,0.019607843238177627,0.07843137251153404,0.03921568632929644,0.09803921560265284,I
0.03960396045044603,0.10891089097882557,0.05940594060141162,0.0792079207523772,0.05940594060141162,0.09900990090334277,0.05940594060141162,0.019801980299480437,0.05940594060141162,0.09900990090334277,0.029702970374963233,0.06930693067689442,0.029702970374963233,0.06930693067689442,0.029702970374963233,0.08910891082785999,D
0.06930693067689445,0.10891089097882561,0.05940594060141165,0.05940594060141165,0.029702970374963247,0.04950495052592884,0.08910891082786003,0.03960396045044605,0.05940594060141165,0.03960396045044605,0.03960396045044605,0.09900990090334282,0.05940594060141165,0.09900990090334282,0.019801980299480448,0.07920792075237723,N
0.02597402608787317,0.012987013141339182,0.03896103903440716,0.012987013141339182,0.012987013141339182,0.10389610376707709,0.07792207787400914,0.07792207787400914,0.07792207787400914,0.07792207787400914,0.06493506492747514,0.11688311671361108,0.012987013141339182,0.09090909082054312,0.06493506492747514,0.12987012966014505,G
0.038834951511452546,0.1067961164016401,0.04854368935290791,0.077669902877274,0.029126213669997174,0.077669902877274,0.077669902877274,0.058252427194363285,0.08737864071872938,0.04854368935290791,0.058252427194363285,0.058252427194363285,1.4563106762183054e-10,0.077669902877274,0.08737864071872938,0.06796116503581864,S
0.04347826091918714,0.021739130541115308,0.05434782610822306,0.04347826091918714,0.04347826091918714,0.0869565216753308,0.07608695648629489,0.06521739129725898,0.06521739129725898,0.07608695648629489,0.06521739129725898,0.06521739129725898,0.021739130541115308,0.0869565216753308,0.07608695648629489,0.10869565205340262,B
0.017857143048469387,0.017857143048469387,0.053571428609693876,0.03571428582908163,0.017857143048469387,0.14285714251275508,0.03571428582908163,0.03571428582908163,0.03571428582908163,0.14285714251275508,0.03571428582908163,0.14285714251275508,0.017857143048469387,0.10714285695153063,0.03571428582908163,0.12499999973214286,A
0.02597402608787316,0.02597402608787316,0.051948051980941136,0.051948051980941136,0.02597402608787316,0.12987012966014502,0.07792207787400911,0.02597402608787316,0.07792207787400911,0.155844155553213,0.051948051980941136,0.10389610376707706,0.012987013141339177,0.07792207787400911,0.012987013141339177,0.09090909082054309,J
0.09322033892056882,0.1271186439363689,0.11016949142846885,0.07627118641266878,0.05932203390476876,0.11016949142846885,0.016949152635018675,0.050847457650818745,0.016949152635018675,0.10169491517451884,0.00847457638106866,0.07627118641266878,0.06779661015871877,0.00847457638106866,0.00847457638106866,0.06779661015871877,M
